Platform,Match Score,Kept Key,Moved Key,Kept File,Moved File
3do,100.0,alone in the dark chd,alone in the dark 2 chd,"3do\Alone in the Dark (Europe) (En,Fr).chd",3do\Alone in the Dark 2 (USA).chd
3do,100.0,return fire chd,return fire maps o death chd,"3do\Return Fire (USA, Europe).chd",3do\Return Fire - Maps O' Death (Europe).chd
3do,100.0,shock wave chd,shock wave operation jumpgate chd,3do\Shock Wave (Europe).chd,"3do\Shock Wave - Operation JumpGate (USA, Europe).chd"
amigacd32,100.0,chuck rock chd,chuck rock 2 son of chuck chd,amigacd32\Chuck Rock (1994)(Core)[!].chd,amigacd32\Chuck Rock II - Son of Chuck (1994)(Core)[!].chd
amigacd32,100.0,diggers and oscar chd,diggers chd,"amigacd32\Diggers & Oscar (1993)(Commodore)[!][compilation][AMIGA-CD 31, 54].chd",amigacd32\Diggers (1993)(Millennium)(NTSC)[!].chd
amigacd32,100.0,sleepwalker and pinball fantasies chd,sleepwalker chd,amigacd32\Sleepwalker & Pinball Fantasies (1993)(Commodore)[!][compilation][CDAC-055300 2].chd,amigacd32\Sleepwalker (1993)(Ocean)[!].chd
atari2600,100.0,52 frogger a26,52 the official frogger a26,atari2600\52. Frogger (USA).a26,atari2600\52. The Official Frogger (USA).a26
atarist,100.0,academy tau ceti 2 zip,tau ceti zip,atarist\Academy - Tau Ceti II (Europe).zip,atarist\Tau Ceti (Europe).zip
atarist,100.0,chase zip,chase h q zip,atarist\Chase (Europe).zip,atarist\Chase H.Q. (Europe).zip
atarist,100.0,chuckie egg zip,chuckie egg 2 zip,atarist\Chuckie Egg (Europe).zip,atarist\Chuckie Egg II (Europe).zip
atarist,100.0,double dragon zip,double dragon 2 the revenge zip,atarist\Double Dragon (Europe) (Compilation - Magnum 4).zip,atarist\Double Dragon II - The Revenge (Europe) (v1.2) (Budget - 16 Blitz).zip
atarist,100.0,face off ice hockey zip,ice hockey aka face off zip,"atarist\Face-Off Ice Hockey (Europe) (En,Fr,De,Es,It).zip",atarist\Ice Hockey aka Face Off (Europe).zip
atarist,100.0,international ninja rabbits zip,ninja rabbits zip,atarist\International Ninja Rabbits (Europe).zip,atarist\Ninja Rabbits (Europe).zip
