Platform,Dir,URL
2600,atari2600,
3DO,3do,
3DS,3ds,
DC,dreamcast,
DS,nds,
GB,gb,
GBA,gba,
GC,gamecube,https://myrient.erista.me/files/Redump/Nintendo%20-%20GameCube%20-%20NKit%20RVZ%20%5Bzstd-19-128k%5D/
GEN,megadrive,
GG,gamegear,
N64,n64,
NES,nes,
NG,ng,
PC,pc,
PCFX,pcfx,
PS,ps,
PS2,ps2,
PS3,ps3,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/
PS4,ps4,
PSP,psp,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%20Portable/
PSV,psvita,
SAT,saturn,
SCD,segacd,
SNES,snes,
TG16,pcengine,
WS,ws,
Wii,wii,https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20%5Bzstd-19-128k%5D/
WiiU,wiiu,https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Wii%20U%20%28Digital%29%20%28CDN%29/
X360,xbox360,https://myrient.erista.me/files/Redump/Microsoft%20-%20Xbox%20360/
XB,xbox,https://myrient.erista.me/files/Redump/Microsoft%20-%20Xbox/
XOne,xboxone,
