Platform,Directory,URL,ignore,FullName,ReleaseYear,Generation,query_ratings,download_count,ignore_ratings
2600,atari2600,https://myrient.erista.me/files/No-Intro/Atari%20-%20Atari%202600/,FALSE,Atari 2600,1977,2,FALSE,150,TRUE
intellivision,intellivision,https://myrient.erista.me/files/Internet%20Archive/retro_game_champion/Game%20Sets/Intellivision%20Champion%20Collection/,FALSE,Mattel Intellivision,1979,2,FALSE,0,TRUE
PC,pc,https://myrient.erista.me/files/Redump/IBM%20-%20PC%20compatible/,TRUE,PC,1981,,FALSE,0,TRUE
atari5200,atari5200,https://myrient.erista.me/files/Internet%20Archive/retro_game_champion/Game%20Sets/Atari%205200%20Champion%20Collection/,FALSE,Atari 5200,1982,2,FALSE,0,TRUE
colecovision,colecovision,https://myrient.erista.me/files/Internet%20Archive/retro_game_champion/Game%20Sets/ColecoVision%20Champion%20Collection/,FALSE,ColecoVision,1982,2,FALSE,0,TRUE
NES,nes,https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Nintendo%20Entertainment%20System%20%28Headered%29/,FALSE,Nintendo Entertainment System,1983,3,FALSE,125,TRUE
sg1000,sg1000,https://myrient.erista.me/files/No-Intro/Sega%20-%20SG-1000%20-%20SC-3000/,FALSE,Sega SG-1000,1983,3,FALSE,100,TRUE
ATARIST,atarist,https://myrient.erista.me/files/No-Intro/Atari%20-%20Atari%20ST/,FALSE,Atari ST,1985,,FALSE,75,TRUE
MASTERSYSTEM,mastersystem,https://myrient.erista.me/files/No-Intro/Sega%20-%20Master%20System%20-%20Mark%20III/,FALSE,Sega Master System,1985,3,FALSE,50,TRUE
atari7800,atari7800,https://myrient.erista.me/files/Internet%20Archive/retro_game_champion/Game%20Sets/Atari%207800%20Champion%20Collection/,FALSE,Atari 7800,1986,3,FALSE,50,TRUE
TG16,pcengine,https://myrient.erista.me/files/No-Intro/NEC%20-%20PC%20Engine%20-%20TurboGrafx-16/,FALSE,NEC PC Engine / TurboGrafx-16,1987,4,FALSE,100,TRUE
xegs,xegs,https://myrient.erista.me/files/MAME/Software%20List%20ROMs%20%28merged%29/xegs/,TRUE,Atari XE Game System,1987,3,FALSE,0,TRUE
GEN,megadrive,https://myrient.erista.me/files/No-Intro/Sega%20-%20Mega%20Drive%20-%20Genesis/,FALSE,Sega Mega Drive / Genesis,1988,4,FALSE,100,TRUE
