Rank,Name,Platform,release_date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,controller_support,new_rating,new_rating_source
1,Wii Sports,wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,FALSE,7,PEGI
2,Mario Kart 8 Deluxe,switch,2017,,,,,,,55.46,,3,PEGI
3,Animal Crossing: New Horizons,switch,2020,,,,,,,42.21,,3,ESRB
4,Super Mario Bros.,nes,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,3,pre-1994
5,Pac-Man,mame,1980,,,,,,,37.9,,3,pre-1994
6,Mario Kart Wii,wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,TRUE,3,PEGI
7,Wii Sports Resort,wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33,FALSE,7,PEGI
8,Super Smash Bros. Ultimate,switch,2018,,,,,,,31.77,,12,PEGI
9,Pokémon Red/Blue/Green,gb,1996,,,,,,,31.38,,3,ESRB
10,Pokemon Red/Pokemon Blue,gb,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37,,3,ESRB
11,Tetris,gb,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,,3,pre-1994
12,New Super Mario Bros.,ds,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,,3,PEGI
13,Wii Play,wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,FALSE,3,PEGI
14,New Super Mario Bros. Wii,wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,FALSE,3,PEGI
15,Duck Hunt,nes,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,3,pre-1994
16,The Legend of Zelda: Breath of the Wild,switch,2017,,,,,,,27.79,,12,PEGI
17,Super Mario Odyssey,switch,2017,,,,,,,26.95,,7,PEGI
18,Pokémon Sword and Shield,switch,2019,,,,,,,25.92,,3,ESRB
19,Nintendogs,ds,2005,Simulation,Nintendo,9.07,11,1.93,2.75,24.76,,3,ESRB
20,Mario Kart DS,ds,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,,3,PEGI
21,Pokémon Gold/Silver,gb,1999,,,,,,,23.1,,3,ESRB
22,Pokémon Gold/Silver,gbc,1999,,,,,,,23.1,,3,ESRB
23,Pokemon Gold/Pokemon Silver,gb,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1,,3,ESRB
24,Wii Fit,wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,FALSE,3,PEGI
25,Wii Fit Plus,wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22,FALSE,3,PEGI
26,Grand Theft Auto V,ps3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,,18,PEGI
27,Donkey Kong,mame,1981,,,,,,,21.35,,3,pre-1994
28,Grand Theft Auto: San Andreas,ps2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,,18,PEGI
29,Super Mario World,snes,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,3,pre-1994
30,Brain Age: Train Your Brain in Minutes a Day,ds,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,,3,PEGI
31,Super Mario Party,switch,2018,,,,,,,19.39,,3,PEGI
32,Pokemon Diamond/Pokemon Pearl,ds,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,,3,ESRB
33,Super Mario Land,gb,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,,3,pre-1994
34,Super Mario Bros. 3,nes,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,,3,pre-1994
35,Grand Theft Auto: Vice City,ps2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,,18,PEGI
36,Pokemon Ruby/Pokemon Sapphire,gba,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,3,PEGI
37,New Super Mario Bros. U Deluxe,switch,2019,,,,,,,15.41,,3,PEGI
38,Ring Fit Adventure,switch,2019,,,,,,,15.38,,7,ESRB
39,Pokemon Black/Pokemon White,ds,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,,3,ESRB
40,Brain Age 2: More Training in Minutes a Day,ds,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,,3,PEGI
41,Gran Turismo 3: A-Spec,ps2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,,3,ESRB
42,Pokémon Brilliant Diamond and Shining Pearl,switch,2021,,,,,,,14.92,,3,ESRB
43,Pokémon Legends: Arceus,switch,2022,,,,,,,14.83,,7,PEGI
44,Pokémon Let's Go,switch,2018,,,,,,,14.81,,3,manual
45,Pokémon Yellow: Special Pikachu Edition,gb,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,7,ESRB
46,Pokémon Yellow,gb,1998,,,,,,,14.64,,3,ESRB
47,Pokemon X/Pokemon Y,3ds,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,,7,PEGI
48,Space Invaders,mame,1978,,,,,,,14.2,,3,pre-1994
49,Call of Duty: Black Ops II,ps3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,,18,PEGI
50,Call of Duty: Modern Warfare 3,ps3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,,18,PEGI
51,Splatoon 2,switch,2017,,,,,,,13.34,,7,PEGI
52,Grand Theft Auto III,ps2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,,16,ESRB
53,Super Smash Bros. Brawl,wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,TRUE,12,PEGI
54,Luigi's Mansion 3,switch,2019,,,,,,,12.82,,3,ESRB
55,Call of Duty: Black Ops,ps3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,,18,PEGI
56,Animal Crossing: Wild World,ds,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,,7,PEGI
57,Mario Kart 7,3ds,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,,3,PEGI
58,Monster Hunter Rise,switch,2021,,,,,,,12,,12,PEGI
59,Pokemon HeartGold/Pokemon SoulSilver,ds,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,,3,PEGI
60,Super Mario 64,n64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,3,ESRB
61,Gran Turismo 4,ps2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,,3,PEGI
62,Super Mario Galaxy,wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,FALSE,3,PEGI
63,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3ds,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,,7,PEGI
64,Super Mario Land 2: 6 Golden Coins,gb,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,3,pre-1994
65,Gran Turismo,ps,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,,3,ESRB
66,Super Mario 3D World + Bowser's Fury,switch,2021,,,,,,,10.82,,3,ESRB
67,Super Mario 3D Land,3ds,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,,3,PEGI
68,Gran Turismo 5,ps3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,,3,PEGI
69,Call of Duty: Modern Warfare 2,ps3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,,18,PEGI
70,Street Fighter II,mame,1991,,,,,,,10.65,,3,pre-1994
71,Grand Theft Auto IV,ps3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,,18,PEGI
72,Super Mario All-Stars,snes,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,3,pre-1994
73,Pokemon FireRed/Pokemon LeafGreen,gba,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,3,ESRB
74,Super Mario 64,ds,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,,3,ESRB
75,Just Dance 3,wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26,FALSE,3,PEGI
76,Splatoon 3,switch,2022,,,,,,,10.13,,7,manual
77,Mario Kart 64,n64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,3,ESRB
78,New Super Mario Bros. 2,3ds,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,,3,PEGI
79,Final Fantasy VII,ps,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,,12,ESRB
80,Call of Duty: Ghosts,ps3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,,16,PEGI
81,Just Dance 2,wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,FALSE,3,PEGI
