Rank,Name,Platform,release_date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,controller_support,name_norm,PEGI_Rating
5106,98 Koshien,ps,1998,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,,98 koshien,
8777,.hack//G.U. Vol.1//Rebirth,ps2,2006,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,,hack g u vol 1 rebirth,
7527,.hack//G.U. Vol.2//Reminisce,ps2,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0,0.03,0.23,,hack g u vol 2 reminisce,
9028,.hack//G.U. Vol.2//Reminisce (jp sales),ps2,2006,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16,,hack g u vol 2 reminisce,
8956,.hack//G.U. Vol.3//Redemption,ps2,2007,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,,hack g u vol 3 redemption,
1728,.hack//Infection Part 1,ps2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,,hack infection part 1,
9731,.hack//Link,psp,2010,Role-Playing,Namco Bandai Games,0,0,0.14,0,0.14,,hack link,
3255,.hack//Mutation Part 2,ps2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,,hack mutation part 2,
4642,.hack//Outbreak Part 3,ps2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,,hack outbreak part 3,
8662,.hack//Quarantine Part 4: The Final Chapter,ps2,2003,Role-Playing,Atari,0.09,0.07,0,0.02,0.18,,hack quarantine part 4 the final chapter,
15450,.hack: Sekai no Mukou ni + Versus,ps3,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03,,hack sekai no mukou ni versus,
4088,007 Racing,ps,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,,007 racing,
9652,007: Quantum of Solace,ds,2008,Action,Activision,0.11,0.01,0,0.01,0.14,,007 quantum of solace,
4925,007: Quantum of Solace,ps2,2008,Action,Activision,0.17,0,0,0.26,0.43,,007 quantum of solace,
1924,007: Quantum of Solace,ps3,2008,Action,Activision,0.43,0.52,0.02,0.2,1.16,,007 quantum of solace,
3317,007: Quantum of Solace,wii,2008,Action,Activision,0.3,0.29,0.01,0.07,0.67,False,007 quantum of solace,
1342,007: The World is not Enough,n64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.55,,007 the world is not enough,
2499,007: The World is not Enough,ps,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,,007 the world is not enough,
504,007: Tomorrow Never Dies,ps,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21,,007 tomorrow never dies,
11618,1 vs. 100,ds,2008,Misc,DSI Games,0.08,0,0,0.01,0.09,,1 vs 100,
461,1-2-Switch,switch,2017,,,,,,,3.45,,1 2 switch,7
17544,1/2 Summer +,psp,2013,Adventure,Kaga Create,0,0,0.01,0,0.01,,1 2 summer,
12391,10 Minute Solution,wii,2010,Sports,Activision,0.06,0.01,0,0.01,0.08,False,10 minute solution,3
4208,100 All-Time Favorites,ds,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04,0.51,,100 all time favorites,
3315,100 Classic Books,ds,2008,Misc,Nintendo,0.13,0.52,0,0.02,0.67,,100 classic books,
14883,100 Classic Games,ds,2011,Misc,Rondomedia,0,0.03,0,0,0.04,,100 classic games,12
14990,1000 Cooking Recipes from ELLE à table,ds,2010,Misc,Nintendo,0,0.02,0,0,0.03,,1000 cooking recipes from elle a table,
5931,1001 Touch Games,ds,2011,Action,Avanquest,0.12,0.17,0,0.04,0.33,,1001 touch games,
8114,101-in-1 Explosive Megamix,ds,2008,Puzzle,Nordcurrent,0.05,0.13,0,0.02,0.2,,101 in 1 explosive megamix,3
7482,101-in-1 Party Megamix Wii,wii,2009,Misc,Nordcurrent,0.19,0.01,0,0.02,0.23,False,101 in 1 party megamix wii,3
12199,101-in-1 Sports Megamix,ds,2010,Sports,Nordcurrent,0.08,0,0,0.01,0.08,,101 in 1 sports megamix,3
14976,101-in-1 Sports Party Megamix,wii,2010,Sports,Nordcurrent,0.02,0,0,0,0.03,False,101 in 1 sports party megamix,12
956,1080°: TenEighty Snowboarding,n64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,,1080 teneighty snowboarding,
16132,11eyes: CrossOver,psp,2010,Adventure,5pb,0,0,0.02,0,0.02,,11eyes crossover,
12643,12-Sai. Honto no Kimochi,3ds,2014,Adventure,Happinet,0,0,0.07,0,0.07,,12 sai honto no kimochi,
14625,12-Sai. Koisuru Diary,3ds,2016,Adventure,Happinet,0,0,0.04,0,0.04,,12 sai koisuru diary,
14258,12Riven: The Psi-Climinal of Integral,ps2,2008,Adventure,CyberFront,0,0,0.04,0,0.04,,12riven the psi climinal of integral,
16260,18 Wheeler: American Pro Trucker,dc,2000,,,,,,,0.02,,18 wheeler american pro trucker,
10805,18 Wheeler: American Pro Trucker,gc,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11,,18 wheeler american pro trucker,
14240,18 Wheeler: American Pro Trucker,naomi,2000,,,,,,,0.045,,18 wheeler american pro trucker,
5269,18 Wheeler: American Pro Trucker,ps2,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05,0.4,,18 wheeler american pro trucker,
9505,187: Ride or Die,ps2,2005,Racing,Ubisoft,0.07,0.06,0,0.02,0.15,,187 ride or die,16
13327,187: Ride or Die,xb,2005,Racing,Ubisoft,0.05,0.01,0,0,0.06,,187 ride or die,16
1484,1942,mame,1984,,,,,,,1.44,,1942,
2273,1942,nes,1985,Shooter,Capcom,0.65,0.14,0.21,0,1,,1942,
19108,1943: The Battle of Midway,atarist,1988,,,,,,,0.002,,1943 the battle of midway,
16558,1943: The Battle of Midway,nes,1988,,,,,,,0.02,,1943 the battle of midway,
10279,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,gba,2005,Racing,THQ,0.09,0.03,0,0,0.12,,2 games in 1 double pack hot wheels velocity x hot wheels world race,
1123,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,gba,2007,Action,THQ,1.26,0.47,0,0.03,1.76,,2 games in 1 double pack the incredibles finding nemo the continuing adventures,
1137,2 Games in 1: Disney Princess & The Lion King,gba,2004,Misc,THQ,1.25,0.46,0,0.03,1.75,,2 games in 1 disney princess and the lion king,
6154,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,gba,2005,Action,THQ,0.22,0.08,0,0.01,0.31,,2 games in 1 disney s brother bear the lion king 1 1 2,
1072,2 Games in 1: Sonic Advance & ChuChu Rocket!,gba,2005,Misc,THQ,1.31,0.49,0,0.03,1.83,,2 games in 1 sonic advance and chuchu rocket,
3601,2 Games in 1: Sonic Battle & ChuChu Rocket!,gba,2005,Misc,THQ,0.44,0.16,0,0.01,0.61,,2 games in 1 sonic battle and chuchu rocket,
